,number,value,params_alpha,params_booster,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_mol_dst,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,state
24,24,0.9134893159891437,7.421768164978698e-07,gbtree,0.02909617803500946,9.99597794121735e-07,depthwise,7.395665198385124e-07,6.0,RDKit2D,,,,,COMPLETE
25,25,0.9123386434273144,2.096406795131179e-07,gbtree,0.02531347502125611,1.0327707185483555e-06,depthwise,4.845621149999294e-06,6.0,RDKit2D,,,,,COMPLETE
26,26,0.8941350719938788,1.6686105126676324e-06,dart,0.011277881506972239,1.6829072599913614e-05,depthwise,5.580781062744403e-06,5.0,RDKit2D,forest,0.01737026583493707,weighted,1.5161453638768552e-06,COMPLETE
27,27,0.9109838657910967,2.6551726264860324e-08,gbtree,0.023940876093523106,1.9520441107487977e-06,depthwise,8.803018392003561e-06,6.0,RDKit2D,,,,,COMPLETE
28,28,0.8899007104820311,3.969597265934609e-05,gbtree,0.011179993266153227,9.888343176176986e-07,depthwise,0.00019892047509768412,4.0,RDKit2D,,,,,COMPLETE
29,29,0.8751002111739862,3.316138272475817e-05,gblinear,,,,4.566894011202833e-06,,Morgan,,,,,COMPLETE
30,30,0.7893113689633743,1.166407331859891e-08,gbtree,0.0002656209963777045,3.926146061975169e-05,depthwise,2.110652097877624e-08,6.0,RDKit2D,,,,,COMPLETE
31,31,0.9102965332366699,1.0516862592108697e-07,gbtree,0.021254867683901557,6.98291376110155e-07,depthwise,4.5608655369413436e-05,6.0,RDKit2D,,,,,COMPLETE
32,32,0.8982530311116648,1.2807383224079992e-08,gblinear,,,,1.933913576008885e-06,,Daylight,,,,,COMPLETE
33,33,0.9043081815686198,1.2865701766310154e-07,gbtree,0.030072075278186606,7.071313013264819e-07,depthwise,6.829540704828757e-07,7.0,ECFP4,,,,,COMPLETE
34,34,0.7737727342683154,6.945389985541851e-07,gbtree,0.00040965286203923723,2.777817165256064e-05,depthwise,2.3587892648291544e-06,4.0,RDKit2D,,,,,COMPLETE
35,35,0.8339934915325035,2.830519895186317e-06,gbtree,0.003465932110204048,2.115656697271039e-07,depthwise,5.663481533738325e-07,5.0,Daylight,,,,,COMPLETE
36,36,0.8868133761692075,1.2644845528451076e-08,gblinear,,,,0.0012808898694427384,,RDKit2D,,,,,COMPLETE
37,37,0.9151465832518106,3.013447689486282e-08,gbtree,0.03619850074592928,0.8277975437699122,depthwise,1.9943766047766882e-05,6.0,RDKit2D,,,,,COMPLETE
38,38,0.896418817514691,1.0019640428163199e-05,gbtree,0.038790080628197526,0.8453655537011089,depthwise,5.650578140390255e-06,6.0,Morgan,,,,,COMPLETE
39,39,0.8914419742357653,4.973640003448994e-08,dart,0.03572836094871396,0.8848230451715366,depthwise,0.9357389505427728,6.0,Daylight,tree,7.286821979964728e-06,weighted,0.00010184999316414055,COMPLETE
40,40,0.9171205548898061,2.7178984186830164e-05,dart,0.030893069592663032,0.5310105183357078,depthwise,2.6848297543768684e-08,6.0,RDKit2D,forest,0.00010584377537985652,weighted,1.2886874428871271e-08,COMPLETE
41,41,0.9129962201910005,2.144001715761523e-05,dart,0.04401485911428117,0.6391166611034562,lossguide,2.6580711158570046e-08,5.0,RDKit2D,forest,4.0091281005316215e-08,weighted,8.924667564347659e-06,COMPLETE
42,42,0.8088740609710495,0.0033000335005926094,dart,0.0023034801346709507,0.7526748424145207,lossguide,3.160474695433892e-08,7.0,RDKit2D,forest,3.425223991783273e-06,uniform,0.0003505816825467768,COMPLETE
43,43,0.8132323995322276,7.363473249058152e-05,dart,0.0030688204829399787,0.9025632775241808,depthwise,5.975316492650704e-08,7.0,Daylight,tree,0.004306136267611569,uniform,0.004331621149409642,COMPLETE
44,44,0.726118194873499,5.275013701382171e-06,dart,0.06013513185474581,0.035023342152001154,lossguide,6.286494982517733e-08,1.0,RDKit2D,tree,0.9979079461141548,weighted,1.1428147209043746e-08,COMPLETE
45,45,0.9113396932147865,3.440701370775598e-08,gbtree,0.12947743367784778,0.03637032127210303,depthwise,0.00015333024934653734,5.0,ECFP2,,,,,COMPLETE
46,46,0.8109549109807388,2.018259636518447e-06,dart,0.0007938614833472342,0.08313474082450285,depthwise,1.7340340402886282e-08,8.0,RDKit2D,forest,2.4418993802684502e-08,weighted,1.1464537952280714e-06,COMPLETE
47,47,0.8815818101638845,1.2877925358933209e-05,dart,0.580769547178852,0.9506548619579144,lossguide,1.874525047321447e-08,3.0,Morgan,forest,2.7287506437638124e-07,weighted,0.8192612416717154,COMPLETE
48,48,0.8933132361315348,0.006177435543948591,dart,0.028050827155732757,0.8285181858782465,lossguide,0.028486966813103625,5.0,Morgan,forest,7.440356422130074e-05,weighted,1.0502877791603753e-06,COMPLETE
49,49,0.9050544480377836,2.5376917455103353e-05,gbtree,0.04422133523695407,0.14271652350157185,lossguide,0.7858933324319789,5.0,ECFP2,,,,,COMPLETE
50,50,0.9047360193273397,5.510079191290545e-07,dart,0.061983259328385644,0.553849273695433,lossguide,2.0720812775766665e-07,5.0,ECFP4,forest,4.476917518204818e-07,weighted,2.7220795342664114e-07,COMPLETE
51,51,0.8928383169761819,4.3289078156275815e-05,dart,0.007061889274086825,0.9590000527996665,lossguide,2.2611002229732853e-06,6.0,MACCS,forest,0.00022561682726537346,weighted,1.874445050839295e-05,COMPLETE
52,52,0.8823679488690287,0.0012955312579330171,gblinear,,,,8.432225683599629e-08,,RDKit2D,,,,,COMPLETE
53,53,0.9175395672924468,5.316133997058592e-05,dart,0.13156413291812802,0.037452393830058266,lossguide,2.3497632987224356e-08,6.0,RDKit2D,forest,1.2652934615883982e-08,weighted,1.449420047689323e-08,COMPLETE
54,54,0.8936359566226301,0.00042282460357427495,dart,0.7247089972092622,0.0019105591545489433,lossguide,1.2793402412883196e-07,7.0,ECFP2,forest,1.0180785845616842e-08,weighted,1.1646797725750414e-08,COMPLETE
55,55,0.874327940466797,5.234007979906016e-06,gblinear,,,,3.58645921348571e-06,,RDKit2D,,,,,COMPLETE
56,56,0.9069483286398196,0.0008926025841886864,dart,0.17881470957034787,0.010209748328770802,depthwise,1.2181162473600794e-07,7.0,ECFP4,tree,3.2213766535253913e-06,uniform,1.3694270410496543e-08,COMPLETE
57,57,0.9139851785943925,0.0004359627941549289,dart,0.15533177440898494,0.02414713734701098,depthwise,1.0478596628714779e-07,6.0,RDKit2D,forest,0.0003446659859313641,weighted,2.1285458842418637e-07,COMPLETE
58,58,0.7605868998568249,0.07694289601333304,gblinear,,,,7.220458691287618e-05,,RDKit2D,,,,,COMPLETE
59,59,0.8917722029463795,0.0019367357756472435,gbtree,0.8164563405318076,0.008143868281351156,depthwise,3.99126890736801e-06,9.0,MACCS,,,,,COMPLETE
60,60,0.9052233765356824,0.0003788603537432586,dart,0.67549588748928,0.014030719464290662,lossguide,3.6319971772190935e-07,7.0,RDKit2D,forest,7.194621897548659e-07,weighted,1.3343387428599275e-08,COMPLETE
61,61,0.9176661990233892,0.00011732888566479524,dart,0.08354189276524762,0.015871182331289892,depthwise,1.288091461358171e-08,6.0,RDKit2D,forest,0.00047247198941234537,weighted,2.80231110347091e-07,COMPLETE
62,62,0.9166589356690157,5.8352913754843586e-05,dart,0.1259178042918189,0.0022364320634509585,depthwise,1.3200774283996586e-08,6.0,RDKit2D,forest,0.0006409424847920973,weighted,3.046491294619371e-07,COMPLETE
63,63,0.8487820502871077,0.05262644773994643,dart,1.582432176184384e-07,0.00029860982634192346,depthwise,1.547419832946835e-08,6.0,MACCS,forest,0.003615280141554849,weighted,1.6106104300025028e-07,COMPLETE
64,64,0.9187598883833316,0.00015557589408602405,dart,0.11774878239558849,0.001672834269998984,depthwise,1.1099753015548017e-08,6.0,RDKit2D,forest,3.4246846794593386e-05,weighted,1.014196651244582e-08,COMPLETE
65,65,0.9148053087135823,0.0004315914157902231,dart,0.31071240067127315,0.0011576071943651559,depthwise,1.117366010239976e-08,7.0,RDKit2D,forest,1.0429531488052782e-08,weighted,4.595790447165173e-07,COMPLETE
66,66,0.8984779357333071,0.0002989286087277345,gblinear,,,,3.1251622347866425e-08,,Daylight,,,,,COMPLETE
67,67,0.9112885415643486,6.724040705881439e-05,dart,0.15871313800308937,0.0009778762134742222,depthwise,4.3686224928994605e-08,6.0,MACCS,tree,1.5501627935946888e-05,weighted,1.9940426365479152e-07,COMPLETE
68,68,0.5,0.4611766543857032,gblinear,,,,1.463172848913586e-07,,ECFP2,,,,,COMPLETE
69,69,0.913392269842616,1.8045764540888766e-06,dart,0.14166650721579993,0.0011868419894359604,depthwise,2.0948423288501414e-07,8.0,ECFP2,forest,2.8267910487100145e-05,uniform,1.2194175285336473e-08,COMPLETE
70,70,0.9000758485143863,9.494496822466528e-05,dart,0.9552920136931212,0.003267579765656565,depthwise,5.50159296539532e-08,6.0,RDKit2D,forest,0.0018737801704717851,weighted,6.0471397620630405e-06,COMPLETE
71,71,0.911664063679601,0.0008697385968950898,dart,0.022218681359161215,0.0026661609072484932,depthwise,1.0898376839701417e-08,6.0,RDKit2D,forest,3.372233399958043e-06,uniform,2.1211841124786649e-07,COMPLETE
72,72,0.8993706767241683,0.005647193130431582,dart,0.056411687380385385,0.009238454792316556,depthwise,3.6744813962448247e-06,7.0,Morgan,forest,4.823388748509976e-07,weighted,1.0138954231842962e-08,COMPLETE
73,73,0.9080685459177312,3.2736507955083675e-05,dart,0.016401511504434148,0.030305479640663557,depthwise,1.2540423695326204e-08,6.0,RDKit2D,forest,0.00014765390948401344,weighted,1.1399995730088506e-08,COMPLETE
74,74,0.913395293234311,0.002731132739517974,gbtree,0.04124183200544483,0.030657440175915828,depthwise,1.7610992903871898e-08,5.0,RDKit2D,,,,,COMPLETE
75,75,0.8086807582855144,3.9499759295577756e-05,gbtree,0.00864557085782986,0.0006189603249343303,depthwise,1.0165979281927475e-07,6.0,RDKit2D,,,,,COMPLETE
76,76,0.911539176502458,3.474688090034e-05,dart,0.06285784949439803,0.02979926639213506,depthwise,0.0027348107918180953,6.0,ECFP2,forest,7.079193179977656e-05,weighted,1.7423323462381975e-08,COMPLETE
77,77,0.8168348969354016,0.07865783928451088,dart,2.216343171362221e-06,2.693287434891917e-08,depthwise,0.001022518032482274,7.0,Daylight,forest,0.0001534936554190058,weighted,1.2896583441691745e-08,COMPLETE
78,78,0.8988942552331934,4.924634170119996e-05,gblinear,,,,0.0284281718286601,,Morgan,,,,,COMPLETE
79,79,0.9050780964700363,6.1536693440103785e-06,dart,0.0793371903391875,0.04163440125698975,depthwise,1.3085824676689813e-08,5.0,ECFP4,forest,9.364972852208994e-05,weighted,1.0075081426213872e-08,COMPLETE
80,80,0.7775092575737795,3.4894471463666306e-05,dart,0.003204065464698449,0.00019195455960616722,depthwise,1.1835892223142088e-08,6.0,ECFP2,forest,0.0012399459695457177,weighted,1.6961450542752874e-07,COMPLETE
81,81,0.9026293575909248,0.0007617705810686452,dart,0.07838432417836518,0.06755317268648947,depthwise,2.233758273809826e-08,7.0,Morgan,forest,4.7229496923248675e-05,weighted,2.2623791451265486e-07,COMPLETE
82,82,0.881090503630784,0.053856499362554884,dart,0.00883591914251023,1.1920191965177127e-08,depthwise,1.380270149006802e-06,5.0,RDKit2D,tree,0.017801767321499934,weighted,1.4817158194911384e-07,COMPLETE
83,83,0.9125401456598838,9.509487866870548e-05,dart,0.1208897057499253,0.00290653467298125,lossguide,3.095799030155778e-08,6.0,RDKit2D,forest,1.3881505137223527e-08,uniform,1.183609384229755e-08,COMPLETE
84,84,0.8828410734754801,1.615156795636234e-08,gbtree,0.9943679924639355,0.00032913294515606994,depthwise,0.0001303728423350023,8.0,Daylight,,,,,COMPLETE
85,85,0.9070521687934331,0.6405957028271727,gbtree,0.26650317394518974,0.0012773665691202553,depthwise,6.587892236304162e-07,7.0,Morgan,,,,,COMPLETE
86,86,0.9172908594004552,6.726012580498221e-05,dart,0.16046682890952235,0.0010069856055221218,depthwise,1.288940549685928e-06,7.0,RDKit2D,forest,1.5413836702609683e-05,weighted,0.05505951388767976,COMPLETE
87,87,0.9000910066946085,1.244152896759287e-05,dart,0.025753902805610542,0.004194699453886741,depthwise,3.723972640311717e-05,7.0,Morgan,tree,4.1493526784591606e-06,weighted,0.05571858998983929,COMPLETE
88,88,0.876206424231548,6.129943198657695e-05,gblinear,,,,1.4657446643460816e-08,,RDKit2D,,,,,COMPLETE
89,89,0.9172085199123963,5.9935397136346e-05,dart,0.04173441376802548,0.06499784341893909,depthwise,1.3498557429476537e-05,6.0,RDKit2D,forest,6.235553191206799e-05,weighted,0.08460177278250855,COMPLETE
90,90,0.914313719077431,6.359681557081716e-05,dart,0.09475934546910102,0.010681974408748844,depthwise,5.057019190389902e-05,8.0,RDKit2D,forest,1.9443996935634618e-05,weighted,0.045023877393141815,COMPLETE
91,91,0.7948489908011043,1.3708747254694131e-06,dart,0.002939156947323096,0.03355073695894588,depthwise,1.1365203683173733e-06,6.0,RDKit2D,forest,3.074397712553421e-05,weighted,0.05729164457291452,COMPLETE
92,92,0.5,0.5536194407677767,gblinear,,,,0.0036127588042391893,,ECFP4,,,,,COMPLETE
93,93,0.916588037230745,1.702414476799788e-05,dart,0.07023431630964888,0.0009636831017609117,depthwise,3.3791957486596396e-06,7.0,RDKit2D,forest,1.7790646244067795e-05,weighted,0.4849410884059335,COMPLETE
94,94,0.8238858254348281,7.408735018418919e-07,gbtree,0.01118126055713199,6.01392405705484e-05,lossguide,0.0012181227527426016,5.0,ECFP4,,,,,COMPLETE
95,95,0.9132902994491559,0.0012508987923439373,dart,0.14431181840660753,0.04637768440627125,depthwise,0.0001309277450760132,6.0,RDKit2D,forest,0.00017979208775444308,weighted,0.0044307758397606235,COMPLETE
96,96,0.9063990637398535,0.00016755054588455854,gbtree,0.059676580803381396,0.0003450861421205701,depthwise,3.903623045501788e-06,8.0,ECFP4,,,,,COMPLETE
97,97,0.9135367731854224,4.1132618371527085e-05,dart,0.06653475850735756,0.0005627611485164777,depthwise,5.031368927338153e-06,7.0,RDKit2D,forest,1.0795553146381065e-08,uniform,0.035435121043277056,COMPLETE
98,98,0.9148909216716159,0.00017456248141163274,dart,0.10076973810300781,0.002359646745318534,depthwise,0.3448997318217755,7.0,RDKit2D,forest,7.663116333688502e-06,weighted,0.2187004613707819,COMPLETE
99,99,0.8286485812957973,4.704212072097344e-06,dart,0.008089311132259532,0.0027110325263051092,depthwise,1.5507304869508384e-05,7.0,Daylight,forest,0.0006419170963736532,weighted,0.00268122626560205,COMPLETE
100,100,0.8943135134923972,9.74603554698545e-08,dart,0.9102906367164817,0.04097681271831445,depthwise,0.00023559238609113046,6.0,MACCS,tree,1.530131254084881e-05,weighted,0.9697363879565027,COMPLETE
101,101,0.9153899224114719,2.1424090275449337e-05,dart,0.03835531703035797,5.484775287532805e-08,depthwise,0.08702714563066838,7.0,RDKit2D,forest,2.1282177519727998e-07,weighted,0.006734619625061796,COMPLETE
102,102,0.9025427854812559,2.199295985668647e-06,dart,0.08461961364390734,0.000390757793034872,lossguide,0.001143114703469529,2.0,RDKit2D,forest,0.0002703485159152592,weighted,0.04367477370243775,COMPLETE
103,103,0.8646799547968603,0.00021367253648996637,gblinear,,,,0.07367566367603791,,RDKit2D,,,,,COMPLETE
104,104,0.8888518052932151,2.106718162392219e-06,dart,0.008164419930660131,0.005307181833623606,depthwise,0.029269808479535534,6.0,MACCS,forest,0.0001311002827284819,weighted,1.0331631986844703e-08,COMPLETE
105,105,0.9114443762169844,9.00852273501814e-06,dart,0.18064729422197265,0.06787786636113845,depthwise,0.03034743577074611,4.0,RDKit2D,forest,5.525899959171144e-05,weighted,0.014207955409862678,COMPLETE
106,106,0.8142062472875651,3.1743083795132804e-05,dart,2.4900664575928026e-08,6.535813746086462e-05,depthwise,9.943879270833306e-07,8.0,RDKit2D,forest,0.001788925875020801,weighted,1.1533289738335882e-07,COMPLETE
107,107,0.8914533831809729,0.00012446623260544133,gblinear,,,,4.078047848651878e-06,,ECFP4,,,,,COMPLETE
108,108,0.8113488314593432,3.0330557301281243e-06,dart,0.016947000654360393,6.953566661606088e-08,depthwise,1.713617108947214e-08,7.0,RDKit2D,forest,0.7232766361803433,weighted,1.167723325918837e-08,COMPLETE
109,109,0.9072583783964842,0.0002614226324582436,gbtree,0.05688048005880894,1.0972649597656638e-07,depthwise,2.4712335804882114e-08,7.0,ECFP4,,,,,COMPLETE
110,110,0.9164094878027724,9.434446363143057e-05,gbtree,0.04916973954218724,1.3053985170762722e-07,depthwise,4.433776117601496e-06,7.0,RDKit2D,,,,,COMPLETE
111,111,0.914632752812466,0.00014334455239859312,gbtree,0.21684551210556116,1.6330140820425401e-07,depthwise,1.0978920223016434e-05,6.0,RDKit2D,,,,,COMPLETE
112,112,0.8083330770848175,4.9481999674182e-05,gbtree,0.005872384217023138,5.218290853859924e-07,depthwise,4.213006903667238e-06,6.0,RDKit2D,,,,,COMPLETE
113,113,0.9052785559332761,0.00018142607657510313,gbtree,0.144441445372505,0.0025863814149861544,lossguide,0.006270312349207301,8.0,MACCS,,,,,COMPLETE
114,114,0.9122437047880678,2.023217446265632e-08,gbtree,0.022552102115601453,1.0938199596976176e-08,depthwise,1.2768023905067894e-05,6.0,RDKit2D,,,,,COMPLETE
115,115,0.8983072948249996,0.00046247690876788676,dart,0.7744658820422771,0.16610550003856706,depthwise,0.3064138243480528,7.0,MACCS,forest,9.104177264922902e-06,uniform,0.00016517160948369985,COMPLETE
116,116,0.9119307957779197,0.00012720459949343787,dart,0.02887637477461977,0.004943927623247269,depthwise,4.964694456240681e-07,5.0,RDKit2D,forest,9.926225269091638e-08,weighted,3.098559104988924e-06,COMPLETE
117,117,0.8206700002099518,8.487587345925862e-05,gbtree,0.0008444979144767989,0.0641609286282668,depthwise,0.7008970351899871,7.0,RDKit2D,,,,,COMPLETE
118,118,0.8862103027104347,0.0464675464295136,dart,0.03723659888355145,7.900096643110489e-08,depthwise,4.2750598987322635e-08,7.0,Daylight,tree,0.00017098806847859726,weighted,1.0454810876152181e-07,COMPLETE
119,119,0.8885925668170351,0.7679778485912634,dart,0.046321307714221056,1.2576654315178725e-07,depthwise,0.05232408676605881,7.0,MACCS,forest,6.741620254518222e-06,weighted,0.07308850841326402,COMPLETE
120,120,0.9163912245575851,0.00735449916381891,gbtree,0.060423232203698905,6.569213066916876e-08,depthwise,1.8800427273197895e-06,9.0,RDKit2D,,,,,COMPLETE
121,121,0.9169081267190398,0.15594049908560464,gbtree,0.14492350017413885,8.228380250442977e-08,depthwise,8.312188133243618e-05,9.0,RDKit2D,,,,,COMPLETE
122,122,0.8955985276078285,0.1780322669083971,gbtree,0.9307321115986438,1.2046742935232242e-06,depthwise,3.784392333479543e-06,9.0,RDKit2D,,,,,COMPLETE
123,123,0.9128176661028459,0.00023951117336723865,gbtree,0.19798043689832848,1.1447047761863748e-08,lossguide,7.494856031258396e-06,9.0,ECFP2,,,,,COMPLETE
124,124,0.9151839238252866,0.053443965631165276,gbtree,0.13757974114666877,2.4556902057356046e-07,depthwise,0.000394154873444522,9.0,RDKit2D,,,,,COMPLETE
125,125,0.800292348870161,2.909159063309668e-05,dart,0.004675733416052295,0.0009386866473229065,depthwise,1.4726375740136972e-08,5.0,RDKit2D,forest,0.0010334979464256997,weighted,1.6123085862297638e-07,COMPLETE
126,126,0.8865950453757254,0.12708117860041204,gbtree,0.1618418625239769,0.10890818222338902,depthwise,0.0003312532177945711,6.0,Daylight,,,,,COMPLETE
127,127,0.8998739159579603,3.1943654793767746e-05,dart,0.022790944728461156,0.005918104415383699,depthwise,0.268060392665149,8.0,Morgan,forest,0.004153149094538599,weighted,2.9943247603460357e-06,COMPLETE
128,128,0.9111829205309933,1.865788369898794e-05,dart,0.05713148311448544,5.45186059892795e-08,depthwise,0.00025041997763074187,9.0,ECFP4,forest,0.000771861079174555,weighted,4.637680916683071e-07,COMPLETE
129,129,0.9115484388237414,0.10772709832690691,gbtree,0.10443087198397483,7.502319156249142e-08,depthwise,1.0836755302514566e-06,9.0,ECFP4,,,,,COMPLETE
130,130,0.9179427160647051,0.008757486587582177,gbtree,0.12075876916140822,2.2594266016266218e-07,depthwise,2.1603702869617034e-05,9.0,RDKit2D,,,,,COMPLETE
131,131,0.9149210903944226,0.005676024984921792,gbtree,0.26763078549705427,1.6709050420693498e-06,depthwise,2.0131580743118394e-05,9.0,RDKit2D,,,,,COMPLETE
132,132,0.9125208193369408,1.9989962049829246e-06,dart,0.39118187901110163,7.803432930233643e-07,depthwise,0.8689558016874689,8.0,RDKit2D,forest,7.620692217118948e-05,weighted,2.4422605288360024e-07,COMPLETE
133,133,0.8991404515732198,0.03971152626414094,gbtree,0.011466883616247167,2.728500498410615e-07,depthwise,5.38621306360692e-07,6.0,RDKit2D,,,,,COMPLETE
134,134,0.8082764448621431,0.001292945502606032,gbtree,9.081041496558585e-06,0.000304784762288742,lossguide,3.8558721075509275e-07,8.0,RDKit2D,,,,,COMPLETE
135,135,0.8923121927166336,0.00031888251396480316,gbtree,0.0868753245155554,0.008142476753819853,depthwise,3.368070123700014e-06,6.0,Daylight,,,,,COMPLETE
136,136,0.8837593599894212,0.016665102420494814,gbtree,0.7613410369155826,7.085769713206311e-06,depthwise,0.0003281462262481629,7.0,Morgan,,,,,COMPLETE
137,137,0.8312357830644347,1.3444351433875132e-06,dart,0.007708766041544775,0.09480882224445183,depthwise,0.3146143980271269,5.0,ECFP4,forest,0.0006298558023072359,weighted,1.03122488791393e-08,COMPLETE
138,138,0.9045380964098866,0.07408226319230629,gbtree,0.049088448102844226,7.922338414348292e-08,depthwise,0.00012281058321329534,9.0,MACCS,,,,,COMPLETE
139,139,0.8589684768191412,0.015936684411218784,gblinear,,,,1.1898225861902537e-05,,Daylight,,,,,COMPLETE
140,140,0.9194219521165913,0.3647238268947838,dart,0.05753876522883873,6.625616274204054e-08,depthwise,0.0003952140237784288,9.0,RDKit2D,forest,0.00020306604302061854,weighted,2.4499871107657e-07,COMPLETE
141,141,0.9145365220614732,0.06147834360089378,dart,0.03341553646943595,1.3434796237627843e-07,depthwise,0.00020858183707898087,9.0,RDKit2D,forest,4.592269657502835e-05,weighted,1.6281402214428094e-07,COMPLETE
142,142,0.918063004106126,0.46172392244561444,dart,0.09317790471241995,1.0482161818550516e-08,depthwise,0.006929986268063215,9.0,RDKit2D,forest,8.443146702340686e-05,uniform,1.1140646743345216e-08,COMPLETE
143,143,0.8988171747838489,1.937745096090686e-05,gbtree,0.17729933162515574,1.3460714675802748e-08,depthwise,1.0078392017414763e-08,9.0,Morgan,,,,,COMPLETE
144,144,0.9165581315141914,0.09561462348433519,dart,0.22060859712296763,1.0834041813906714e-08,depthwise,0.023011760419082487,9.0,RDKit2D,forest,4.4731714808172515e-05,uniform,7.999617058999335e-08,COMPLETE
145,145,0.9087775673769993,0.005625459447296161,dart,0.02108727169525628,1.27463459396996e-08,depthwise,0.08124469443675492,9.0,RDKit2D,forest,2.5100280293334837e-06,uniform,1.4573452051665446e-08,COMPLETE
146,146,0.8963633171380077,0.04794813317363987,dart,0.8299397423427124,0.002172763192536597,lossguide,0.07570221658029716,9.0,ECFP4,tree,6.294452425549639e-08,uniform,3.980584041991207e-06,COMPLETE
147,147,0.9043646154089796,0.20681999087999106,dart,0.03359439393156734,1.3460882174158376e-08,depthwise,0.00037852972086500013,9.0,Morgan,forest,0.0001431672116459846,uniform,1.1347948042226639e-08,COMPLETE
